mov_id,fecha_hora,tipo,lote_id,sku,formato_id,unidades,pedido_id,bulto_id,usuario,origen,nota
MOV-000001,2026-08-12 09:00,ENTRADA,CAF-ETHYIR-250-260812-A,ETHYIR,F1,78,,,Ana,app,Alta de lote
MOV-000002,2026-08-20 09:00,ENTRADA,CAF-ETHYIR-1000-260820-A,ETHYIR,F3,14,,,Ana,app,Alta de lote
MOV-000003,2026-09-05 09:00,ENTRADA,CAF-COLHUI-250-260905-A,COLHUI,F1,52,,,Ana,app,Alta de lote
MOV-000004,2026-06-01 09:00,ENTRADA,CAF-COLHUI-250-260601-A,COLHUI,F1,40,,,Ana,app,Alta de lote
MOV-000005,2026-08-20 18:00,SALIDA,CAF-ETHYIR-250-260812-A,ETHYIR,F1,-12,PED-2026-0001,,Ana,venta,Venta directa
MOV-000006,2026-09-01 12:00,SALIDA,CAF-ETHYIR-250-260812-A,ETHYIR,F1,-9,PED-2026-0002,,Ana,venta,
MOV-000007,2026-09-10 12:00,SALIDA,CAF-COLHUI-250-260601-A,COLHUI,F1,-40,PED-2026-0003,,Ana,venta,
MOV-000008,2026-09-11 10:00,MERMA,CAF-ETHYIR-250-260812-A,ETHYIR,F1,-2,,,Ana,app,Bolsas rotas
MOV-000009,2026-09-12 20:00,AJUSTE,CAF-COLHUI-250-260905-A,COLHUI,F1,-3,,,Ana,inventario,"Recuento: teórico 52, contado 49"
MOV-000010,2026-09-15 11:00,SALIDA,CAF-ETHYIR-1000-260820-A,ETHYIR,F3,-4,PED-2026-0004,,Ana,venta,
